Sample Name,Target Name,Cт
HeLa 601\602,diluted 1:2 (D),25.28100967
HeLa 601\602,diluted 1:2 (D),25.24066162
HeLa 601\602,diluted 1:2 (D),25.94010162
HeLa 601\602,cut (M),29.81069565
HeLa 601\602,cut (M),29.52259254
HeLa 601\602,cut (M),29.15952873
HeLa 601\602,un-cut (C),25.83366203
HeLa 601\602,un-cut (C),25.65294647
HeLa 601\602,un-cut (C),25.81474876
HeLa 601\602,100 ng,23.16905212
HeLa 601\602,50ng,24.58685493
HeLa 601\602,25ng,24.62256241
HeLa 601\602,12.5ng,24.96614456
HeLa 601\602,6.25ng,25.8986721
HEK 601\602,un-cut (C),24.26991463
HEK 601\602,un-cut (C),24.31223488
HEK 601\602,un-cut (C),24.9431057
HEK 601\602,cut (M),26.96257401
HEK 601\602,cut (M),27.70627975
HEK 601\602,cut (M),27.55361938
HEK 601\602,diluted 1:2 (D),24.27203369
HEK 601\602,diluted 1:2 (D),24.36430359
HEK 601\602,diluted 1:2 (D),24.18212891
HEK 601\602,100 ng,23.9442234
HEK 601\602,50ng,23.90000725
HEK 601\602,25ng,24.92601967
HEK 601\602,12.5ng,25.88887215
HEK 601\602,6.25ng,26.75253105
MCF 601\602,un-cut (C),24.80684471
MCF 601\602,un-cut (C),24.9588604
MCF 601\602,un-cut (C),24.79276276
MCF 601\602,diluted 1:2 (D),25.03044891
MCF 601\602,diluted 1:2 (D),24.70107079
MCF 601\602,diluted 1:2 (D),24.86009789
MCF 601\602,cut (M),30.93919563
MCF 601\602,cut (M),30.81138992
MCF 601\602,cut (M),26.45992851
